datetime,episode,steps,return,epsilon
2025-10-28 23:17:43,110,148,-1.48,0.058
2025-10-28 23:17:43,111,392,96.08,0.057
2025-10-28 23:17:43,112,524,194.76,0.057
2025-10-28 23:17:43,113,219,57.81,0.057
2025-10-28 23:17:43,114,197,48.03,0.056
2025-10-28 23:17:43,115,282,67.18,0.056
2025-10-28 23:17:43,116,390,126.1,0.056
2025-10-28 23:17:43,117,239,87.61,0.056
2025-10-28 23:17:43,118,138,38.62,0.055
2025-10-28 23:17:43,119,377,126.23,0.055
2025-10-28 23:17:43,120,198,48.02,0.055
2025-10-28 23:17:43,121,316,136.84,0.055
2025-10-28 23:17:43,122,27,-0.27,0.054
2025-10-28 23:17:43,123,74,9.26,0.054
2025-10-28 23:17:43,124,447,95.53,0.054
2025-10-28 23:17:43,125,307,86.93,0.053
2025-10-28 23:17:43,126,311,116.89,0.053
2025-10-28 23:17:43,127,404,85.96,0.053
2025-10-28 23:17:43,128,505,214.95,0.053
2025-10-28 23:17:43,129,390,116.1,0.052
2025-10-28 23:17:43,130,81,-10.81,0.052
2025-10-28 23:17:43,131,184,48.16,0.052
2025-10-28 23:17:43,132,107,28.93,0.052
2025-10-28 23:17:43,133,421,185.79,0.051
2025-10-28 23:17:43,134,547,134.53,0.051
2025-10-28 23:17:43,135,158,8.42,0.051
2025-10-28 23:17:43,136,321,126.79,0.051
2025-10-28 23:17:43,137,637,303.63,0.05
2025-10-28 23:17:43,138,140,18.6,0.05
2025-10-28 23:17:43,139,276,117.24,0.05
2025-10-28 23:17:43,140,30,9.7,0.05
2025-10-28 23:17:43,141,257,107.43,0.049
2025-10-28 23:17:43,142,456,105.44,0.049
2025-10-28 23:17:43,143,147,18.53,0.049
2025-10-28 23:17:43,144,257,127.43,0.049
2025-10-28 23:17:43,145,179,78.21,0.048
2025-10-28 23:17:43,146,169,48.31,0.048
2025-10-28 23:17:43,147,335,96.65,0.048
2025-10-28 23:17:43,148,324,126.76,0.048
2025-10-28 23:17:43,149,258,87.42,0.047
